date, aqi
2019/8/14, 69
2019/8/15, 70
2019/8/16, 63
2019/8/17, 79
2019/8/18, 83
2019/8/19, 71
2019/8/20, 81
2019/8/21, 81
2019/8/22, 71
2019/8/23, 81
2019/8/24, 70
2019/8/25, 70
2019/8/26, 68
2019/8/27, 69
2019/8/28, 66
2019/8/29, 59
2019/8/30, 63
2019/8/31, 60
2019/9/1, 68
2019/9/2, 76
2019/9/3, 81
2019/9/4, 82
2019/9/5, 77
2019/9/6, 92
2019/9/7, 94
2019/9/8, 96
2019/9/9, 102
2019/9/10, 132
2019/9/11, 142
2019/9/12, 126
2019/9/13, 145
2019/9/14, 146
2019/9/15, 88
2019/9/16, 147
2019/9/17, 162
2019/9/18, 201
2019/9/19, 164
2019/9/20, 141
2019/9/21, 136
2019/9/22, 146
2019/9/23, 156
2019/9/24, 100
2019/9/25, 79
2019/9/26, 67
2019/9/27, 70
2019/9/28, 71
2019/9/29, 65
2019/9/30, 56
2019/4/1, 
2019/4/2, 
2019/4/3, 
2019/4/4, 
2019/4/5, 
2019/4/6, 
2019/4/7, 
2019/4/8, 
2019/4/9, 
2019/4/10, 
2019/4/11, 
2019/4/12, 
2019/4/13, 
2019/4/14, 
2019/4/15, 
2019/4/16, 
2019/4/17, 
2019/4/18, 
2019/4/19, 
2019/4/20, 
2019/4/21, 
2019/4/22, 
2019/4/23, 
2019/4/24, 
2019/4/25, 
2019/4/26, 
2019/4/27, 
2019/4/28, 
2019/4/29, 
2019/4/30, 
2019/5/1, 
2019/5/2, 
2019/5/3, 
2019/5/4, 
2019/5/5, 
2019/5/6, 
2019/5/7, 
2019/5/8, 
2019/5/9, 
2019/5/10, 
2019/5/11, 
2019/5/12, 
2019/5/13, 
2019/5/14, 
2019/5/15, 
2019/5/16, 
2019/5/17, 
2019/5/18, 
2019/5/19, 
2019/5/20, 
2019/5/21, 
2019/5/22, 
2019/5/23, 
2019/5/24, 
2019/5/25, 
2019/5/26, 
2019/5/27, 
2019/5/28, 
2019/5/29, 
2019/5/30, 
2019/5/31, 
2019/6/1, 
2019/6/2, 
2019/6/3, 
2019/6/4, 
2019/6/5, 
2019/6/6, 
2019/6/7, 
2019/6/8, 
2019/6/9, 
2019/6/10, 
2019/6/11, 
2019/6/12, 
2019/6/13, 
2019/6/14, 
2019/6/15, 
2019/6/16, 
2019/6/17, 
2019/6/18, 
2019/6/19, 
2019/6/20, 
2019/6/21, 
2019/6/22, 
2019/6/23, 
2019/6/24, 
2019/6/25, 
2019/6/26, 
2019/6/27, 
2019/6/28, 26
2019/6/29, 65
2019/6/30, 64
2019/1/1, 
2019/1/2, 
2019/1/3, 
2019/1/4, 
2019/1/5, 
2019/1/6, 
2019/1/7, 
2019/1/8, 
2019/1/9, 
2019/1/10, 
2019/1/11, 
2019/1/12, 
2019/1/13, 
2019/1/14, 
2019/1/15, 
2019/1/16, 
2019/1/17, 
2019/1/18, 
2019/1/19, 
2019/1/20, 
2019/1/21, 
2019/1/22, 
2019/1/23, 
2019/1/24, 
2019/1/25, 
2019/1/26, 
2019/1/27, 
2019/1/28, 
2019/1/29, 
2019/1/30, 
