date, aqi
2020/7/29, 37
2020/7/30, 49
2020/7/31, 52
2020/6/1, 32
2020/6/2, 25
2020/6/3, 25
2020/6/4, 18
2020/6/5, 17
2020/6/6, 21
2020/6/7, 35
2020/6/8, 36
2020/6/9, 30
2020/6/10, 31
2020/6/11, 26
2020/6/12, 27
2020/6/13, 30
2020/6/14, 26
2020/6/15, 35
2020/6/16, 28
2020/6/17, 36
2020/6/18, 43
2020/6/19, 35
2020/6/20, 27
2020/6/21, 27
2020/6/22, 26
2020/6/23, 21
2020/6/24, 16
2020/6/25, 21
2020/6/26, 28
2020/6/27, 41
2020/6/28, 31
2020/6/29, 31
2020/6/30, 36
2020/5/1, 27
2020/5/2, 30
2020/5/3, 28
2020/5/4, 36
2020/5/5, 33
2020/5/6, 41
2020/5/7, 46
2020/5/8, 47
2020/5/9, 26
2020/5/10, 24
2020/5/11, 24
2020/5/12, 30
2020/5/13, 34
2020/5/14, 43
2020/5/15, 50
2020/5/16, 28
2020/5/17, 28
2020/5/18, 47
2020/5/19, 39
2020/5/20, 33
2020/5/21, 46
2020/5/22, 49
2020/5/23, 37
2020/5/24, 54
2020/5/25, 37
2020/5/26, 42
2020/5/27, 39
2020/5/28, 35
2020/5/29, 33
2020/5/30, 42
2020/5/31, 32
2020/4/1, 57
2020/4/2, 53
2020/4/3, 54
2020/4/4, 53
2020/4/5, 50
2020/4/6, 52
2020/4/7, 29
2020/4/8, 42
2020/4/9, 36
2020/4/10, 38
2020/4/11, 47
2020/4/12, 37
2020/4/13, 33
2020/4/14, 29
2020/4/15, 45
2020/4/16, 33
2020/4/17, 43
2020/4/18, 50
2020/4/19, 50
2020/4/20, 38
2020/4/21, 45
2020/4/22, 45
2020/4/23, 38
2020/4/24, 38
2020/4/25, 27
2020/4/26, 26
2020/4/27, 32
2020/4/28, 37
2020/4/29, 34
2020/4/30, 43
2020/3/1, 38
2020/3/2, 31
2020/3/3, 27
2020/3/4, 26
2020/3/5, 31
2020/3/6, 35
2020/3/7, 34
2020/3/8, 31
2020/3/9, 34
2020/3/10, 48
2020/3/11, 48
2020/3/12, 53
2020/3/13, 44
2020/3/14, 39
2020/3/15, 35
2020/3/16, 30
2020/3/17, 27
2020/3/18, 42
2020/3/19, 43
2020/3/20, 59
2020/3/21, 70
2020/3/22, 71
2020/3/23, 58
2020/3/24, 55
2020/3/25, 54
2020/3/26, 50
2020/3/27, 35
2020/3/28, 32
2020/3/29, 39
2020/3/30, 45
2020/3/31, 36
2020/2/1, 31
2020/2/2, 31
2020/2/3, 48
2020/2/4, 46
2020/2/5, 44
2020/2/6, 34
2020/2/7, 35
2020/2/8, 41
2020/2/9, 35
2020/2/10, 18
2020/2/11, 18
2020/2/12, 19
2020/2/13, 24
2020/2/14, 28
2020/2/15, 29
2020/2/16, 34
2020/2/17, 41
2020/2/18, 28
2020/2/19, 36
2020/2/20, 29
2020/2/21, 28
2020/2/22, 24
2020/2/23, 26
2020/2/24, 28
2020/2/25, 26
2020/2/26, 33
2020/2/27, 29
2020/2/28, 29
2020/2/29, 29
2020/1/1, 26
2020/1/2, 26
2020/1/3, 26
2020/1/4, 26
2020/1/5, 26
2020/1/6, 26
2020/1/7, 26
2020/1/8, 26
2020/1/9, 26
2020/1/10, 26
2020/1/11, 26
2020/1/12, 26
2020/1/13, 26
2020/1/14, 26
2020/1/15, 26
2020/1/16, 26
2020/1/17, 26
2020/1/18, 41
2020/1/26, 32
2020/1/27, 29
2020/1/28, 31
2020/1/29, 53
2020/1/30, 34
2020/1/31, 29
2019/10/1, 58
2019/10/2, 50
2019/10/3, 50
2019/10/4, 51
2019/10/5, 50
2019/10/6, 48
2019/10/7, 47
2019/10/8, 33
2019/10/9, 48
2019/10/10, 51
2019/10/11, 55
2019/10/12, 55
2019/10/13, 55
2019/10/14, 52
2019/10/15, 53
2019/10/16, 55
2019/10/17, 49
2019/10/18, 44
2019/10/19, 54
2019/10/20, 56
2019/10/21, 50
2019/10/22, 48
2019/10/23, 52
2019/10/24, 56
2019/10/25, 57
2019/10/26, 46
2019/10/27, 41
2019/10/28, 35
2019/10/29, 47
2019/10/30, 56
2019/10/31, 60
2019/11/1, 61
2019/11/2, 59
2019/11/3, 59
2019/11/4, 61
2019/11/5, 71
2019/11/6, 62
2019/11/7, 68
2019/11/8, 63
2019/11/9, 60
2019/11/10, 62
2019/11/11, 75
2019/11/12, 65
2019/11/13, 74
2019/11/14, 57
2019/11/15, 43
2019/11/16, 41
2019/11/17, 45
2019/11/18, 52
2019/11/19, 43
2019/11/20, 39
2019/11/21, 30
2019/11/22, 27
2019/11/23, 22
2019/11/24, 29
2019/11/25, 41
2019/11/26, 33
2019/11/27, 29
2019/11/28, 29
2019/11/29, 29
2019/11/30, 38
2019/12/1, 48
2019/12/2, 22
2019/12/3, 20
2019/12/4, 36
2019/12/5, 51
2019/12/6, 44
2019/12/7, 38
2019/12/8, 28
2019/12/9, 17
2019/12/10, 20
2019/12/11, 20
2019/12/12, 23
2019/12/13, 34
2019/12/14, 19
2019/12/15, 20
2019/12/16, 19
2019/12/17, 21
2019/12/18, 26
2019/12/19, 26
2019/12/20, 26
2019/12/21, 26
2019/12/22, 26
2019/12/23, 26
2019/12/24, 26
2019/12/25, 26
2019/12/26, 26
2019/12/27, 26
2019/12/28, 26
2019/12/29, 26
2019/7/1, 39
2019/7/2, 48
2019/7/3, 53
2019/7/4, 51
2019/7/5, 42
2019/7/6, 32
2019/7/7, 34
2019/7/8, 31
2019/7/9, 30
2019/7/10, 34
2019/7/11, 37
2019/7/12, 48
2019/7/13, 46
2019/7/14, 49
2019/7/15, 54
2019/7/16, 55
2019/7/17, 56
2019/7/18, 52
2019/7/19, 52
2019/7/20, 52
2019/7/21, 54
2019/7/22, 46
2019/7/23, 34
2019/7/24, 39
2019/7/25, 53
2019/7/26, 53
2019/7/27, 56
2019/7/28, 53
2019/7/29, 57
2019/7/30, 60
2019/7/31, 63
2019/8/1, 65
2019/8/2, 68
2019/8/3, 68
2019/8/4, 59
2019/8/5, 59
2019/8/6, 61
2019/8/7, 64
2019/8/8, 66
2019/8/9, 64
2019/8/10, 62
2019/8/11, 58
2019/8/12, 58
2019/8/13, 60
2019/8/14, 56
2019/8/15, 58
2019/8/16, 59
2019/8/17, 58
2019/8/18, 58
2019/8/19, 57
2019/8/20, 59
2019/8/21, 56
2019/8/22, 55
2019/8/23, 55
2019/8/24, 57
2019/8/25, 57
2019/8/26, 64
2019/8/27, 61
2019/8/28, 61
2019/8/29, 58
2019/8/30, 62
2019/8/31, 56
2019/9/1, 59
2019/9/2, 60
2019/9/3, 58
2019/9/4, 56
2019/9/5, 56
2019/9/6, 60
2019/9/7, 62
2019/9/8, 59
2019/9/9, 67
2019/9/10, 76
2019/9/11, 67
2019/9/12, 65
2019/9/13, 75
2019/9/14, 71
2019/9/15, 75
2019/9/16, 67
2019/9/17, 75
2019/9/18, 100
2019/9/19, 98
2019/9/20, 60
2019/9/21, 87
2019/9/22, 102
2019/9/23, 99
2019/9/24, 76
2019/9/25, 62
2019/9/26, 58
2019/9/27, 67
2019/9/28, 67
2019/9/29, 67
2019/9/30, 58
2019/4/1, 
2019/4/2, 
2019/4/3, 
2019/4/4, 
2019/4/5, 
2019/4/6, 
2019/4/7, 
2019/4/8, 
2019/4/9, 
2019/4/10, 
2019/4/11, 
2019/4/12, 
2019/4/13, 
2019/4/14, 
2019/4/15, 
2019/4/16, 
2019/4/17, 
2019/4/18, 
2019/4/19, 
2019/4/20, 
2019/4/21, 
2019/4/22, 
2019/4/23, 
2019/4/24, 
