date, aqi
2018/8/1, 27
2018/8/2, 24
2018/8/3, 27
2018/8/4, 32
2018/8/5, 29
2018/8/6, 33
2018/8/7, 39
2018/8/8, 35
2018/8/9, 31
2018/8/10, 33
2018/8/11, 36
2018/8/12, 36
2018/8/13, 37
2018/8/14, 33
2018/8/15, 35
2018/8/16, 53
2018/8/17, 62
2018/8/18, 61
2018/8/19, 65
2018/8/20, 61
2018/8/21, 67
2018/8/22, 63
2018/8/23, 61
2018/8/24, 56
2018/8/25, 57
2018/8/26, 53
2018/8/27, 57
2018/8/28, 65
2018/8/29, 68
2018/8/30, 59
2018/8/31, 59
2018/9/1, 59
2018/9/2, 70
2018/9/3, 62
2018/9/4, 58
2018/9/5, 66
2018/9/6, 70
2018/9/7, 73
2018/9/8, 65
2018/9/9, 62
2018/9/10, 58
2018/9/11, 61
2018/9/12, 56
2018/9/13, 58
2018/9/14, 67
2018/9/15, 68
2018/9/16, 64
2018/9/17, 67
2018/9/18, 60
2018/9/19, 66
2018/9/20, 66
2018/9/21, 59
2018/9/22, 60
2018/9/23, 63
2018/9/24, 61
2018/9/25, 64
2018/9/26, 64
2018/9/27, 64
2018/9/28, 61
2018/9/29, 63
2018/9/30, 62
2018/4/1, 32
2018/4/2, 30
2018/4/3, 33
2018/4/4, 37
2018/4/5, 31
2018/4/6, 28
2018/4/7, 26
2018/4/8, 25
2018/4/9, 25
2018/4/10, 28
2018/4/11, 24
2018/4/12, 26
2018/4/13, 24
2018/4/14, 22
2018/4/15, 20
2018/4/16, 16
2018/4/17, 24
2018/4/18, 29
2018/4/19, 23
2018/4/20, 25
2018/4/21, 22
2018/4/22, 26
2018/4/23, 22
2018/4/25, 31
2018/4/26, 36
2018/4/27, 32
2018/4/28, 31
2018/4/29, 33
2018/4/30, 26
2018/5/1, 27
2018/5/2, 27
2018/5/3, 34
2018/5/4, 40
2018/5/5, 30
2018/5/6, 35
2018/5/7, 32
2018/5/8, 31
2018/5/9, 25
2018/5/10, 18
2018/5/11, 23
2018/5/12, 26
2018/5/13, 23
2018/5/14, 24
2018/5/15, 32
2018/5/16, 28
2018/5/17, 28
2018/5/18, 30
2018/5/19, 22
2018/5/20, 33
2018/5/21, 43
2018/5/22, 48
2018/5/23, 29
2018/5/24, 22
2018/5/25, 21
2018/5/26, 25
2018/5/27, 22
2018/5/28, 23
2018/5/29, 25
2018/5/30, 25
2018/5/31, 27
2018/6/1, 24
2018/6/2, 26
2018/6/3, 30
2018/6/4, 35
2018/6/5, 33
2018/6/6, 37
2018/6/7, 32
2018/6/8, 30
2018/6/9, 28
2018/6/10, 29
2018/6/11, 24
2018/6/12, 24
2018/6/13, 21
2018/6/16, 21
2018/6/17, 22
2018/6/18, 25
2018/6/19, 13
2018/6/20, 14
2018/6/21, 29
2018/6/22, 28
2018/6/23, 19
2018/6/24, 21
2018/6/25, 16
2018/6/26, 20
2018/6/27, 25
2018/6/28, 20
2018/6/29, 23
