date, aqi
2019/2/27, 
2019/2/28, 
2019/3/1, 
2019/3/2, 
2019/3/3, 
2019/3/4, 
2019/3/5, 
2019/3/6, 
2019/3/7, 
2019/3/8, 
2019/3/9, 
2019/3/10, 
2019/3/11, 
2019/3/12, 
2019/3/13, 
2019/3/14, 
2019/3/15, 
2019/3/16, 
2019/3/17, 
2019/3/18, 
2019/3/19, 
2019/3/20, 
2019/3/21, 
2019/3/22, 
2019/3/23, 
2019/3/24, 
2019/3/25, 
2019/3/26, 
2019/3/27, 
2019/3/28, 
2019/3/29, 
2019/3/30, 
2019/3/31, 
2018/10/1, 82
2018/10/2, 73
2018/10/3, 64
2018/10/4, 66
2018/10/5, 71
2018/10/6, 74
2018/10/7, 68
2018/10/8, 59
2018/10/9, 55
2018/10/10, 56
2018/10/11, 55
2018/10/12, 51
2018/10/13, 50
2018/10/14, 40
2018/10/15, 50
2018/10/16, 59
2018/10/17, 56
2018/10/18, 54
2018/10/19, 51
2018/10/20, 54
2018/10/21, 58
2018/10/22, 63
2018/10/23, 64
2018/10/24, 57
2018/10/25, 54
2018/10/26, 56
2018/10/27, 57
2018/10/28, 55
2018/10/29, 56
2018/10/30, 57
2018/10/31, 56
2018/11/1, 58
2018/11/2, 57
2018/11/3, 57
2018/11/4, 58
2018/11/5, 55
2018/11/6, 56
2018/11/7, 58
2018/11/8, 54
2018/11/9, 57
2018/11/10, 56
2018/11/11, 57
2018/11/12, 54
2018/11/13, 57
2018/11/14, 58
2018/11/15, 57
2018/11/16, 56
2018/11/17, 70
2018/11/18, 69
2018/11/19, 59
2018/11/20, 57
2018/11/21, 54
2018/11/22, 53
2018/11/23, 66
2018/11/24, 65
2018/11/25, 57
2018/11/26, 57
2018/11/27, 56
2018/11/28, 61
2018/11/29, 62
2018/11/30, 52
2018/12/1, 59
2018/12/2, 58
2018/12/3, 55
2018/12/4, 58
2018/12/5, 58
2018/12/6, 57
2018/12/7, 57
2018/12/8, 56
2018/12/9, 64
2018/12/10, 57
2018/12/11, 58
2018/12/12, 57
2018/12/13, 58
2018/12/14, 58
2018/12/15, 55
2018/12/16, 58
2018/12/17, 55
2018/12/18, 58
2018/12/19, 66
2018/12/20, 67
2018/12/21, 65
2018/12/22, 62
2018/12/23, 61
2018/12/24, 58
2018/12/25, 60
2018/12/26, 57
2018/12/27, 53
2018/12/28, 57
2018/12/29, 58
2018/12/30, 58
2018/7/1, 24
2018/7/2, 23
2018/7/3, 34
2018/7/4, 47
2018/7/5, 41
2018/7/6, 31
2018/7/7, 42
2018/7/8, 39
2018/7/9, 31
2018/7/10, 26
2018/7/11, 32
2018/7/12, 42
2018/7/13, 37
2018/7/14, 39
2018/7/15, 31
2018/7/16, 29
2018/7/17, 45
2018/7/18, 48
2018/7/19, 42
2018/7/20, 31
2018/7/21, 38
2018/7/22, 37
2018/7/23, 29
2018/7/24, 39
2018/7/25, 34
2018/7/26, 28
2018/7/27, 39
2018/7/28, 41
2018/7/29, 31
2018/7/30, 25
2018/7/31, 24
2018/8/1, 21
2018/8/2, 23
2018/8/3, 31
2018/8/4, 48
2018/8/5, 40
2018/8/6, 30
2018/8/7, 32
2018/8/8, 29
2018/8/9, 30
2018/8/10, 33
2018/8/11, 32
2018/8/12, 35
2018/8/13, 37
2018/8/14, 47
2018/8/15, 38
2018/8/16, 59
2018/8/17, 83
2018/8/18, 77
2018/8/19, 69
2018/8/20, 65
2018/8/21, 65
2018/8/22, 62
2018/8/23, 49
2018/8/24, 60
2018/8/25, 60
2018/8/26, 68
2018/8/27, 67
2018/8/28, 62
2018/8/29, 55
2018/8/30, 55
2018/8/31, 59
2018/9/1, 58
2018/9/2, 56
2018/9/3, 57
2018/9/4, 57
2018/9/5, 56
2018/9/6, 62
2018/9/7, 61
2018/9/8, 61
2018/9/9, 62
2018/9/10, 56
2018/9/11, 57
2018/9/12, 58
2018/9/13, 61
2018/9/14, 65
2018/9/15, 69
2018/9/16, 61
2018/9/17, 61
2018/9/18, 63
2018/9/19, 61
2018/9/20, 60
2018/9/21, 56
2018/9/22, 59
2018/9/23, 57
2018/9/24, 67
2018/9/25, 67
2018/9/26, 73
2018/9/27, 68
2018/9/28, 70
2018/9/29, 72
2018/9/30, 89
2018/4/1, 38
