date, aqi
2018/8/30, 65
2018/8/31, 65
2018/9/1, 74
2018/9/2, 76
2018/9/3, 72
2018/9/4, 68
2018/9/5, 70
2018/9/6, 75
2018/9/7, 70
2018/9/8, 65
2018/9/9, 65
2018/9/10, 61
2018/9/11, 68
2018/9/12, 65
2018/9/13, 62
2018/9/14, 74
2018/9/15, 80
2018/9/16, 76
2018/9/17, 73
2018/9/18, 75
2018/9/19, 72
2018/9/20, 67
2018/9/21, 61
2018/9/22, 68
2018/9/23, 71
2018/9/24, 71
2018/9/25, 75
2018/9/26, 77
2018/9/27, 76
2018/9/28, 77
2018/9/29, 76
2018/9/30, 80
2018/4/1, 39
2018/4/2, 30
2018/4/3, 36
2018/4/4, 38
2018/4/5, 50
2018/4/6, 55
2018/4/7, 53
2018/4/8, 34
2018/4/9, 23
2018/4/10, 25
2018/4/11, 30
2018/4/12, 31
2018/4/13, 36
2018/4/14, 29
2018/4/15, 32
2018/4/16, 28
2018/4/17, 29
2018/4/18, 33
2018/4/19, 26
2018/4/20, 27
2018/4/21, 29
2018/4/22, 36
2018/4/23, 31
2018/4/24, 37
2018/4/25, 39
2018/4/26, 32
2018/4/27, 39
2018/4/28, 40
2018/4/29, 31
2018/4/30, 29
2018/5/1, 35
2018/5/2, 28
2018/5/3, 37
2018/5/4, 32
2018/5/5, 32
2018/5/6, 38
2018/5/7, 26
2018/5/8, 43
2018/5/9, 37
2018/5/10, 26
2018/5/11, 25
2018/5/12, 25
2018/5/13, 26
2018/5/14, 31
2018/5/15, 31
2018/5/16, 36
2018/5/17, 41
2018/5/18, 35
2018/5/19, 33
2018/5/20, 28
2018/5/21, 27
2018/5/22, 37
2018/5/23, 39
2018/5/24, 26
2018/5/25, 25
2018/5/26, 35
2018/5/27, 26
2018/5/28, 32
2018/5/29, 33
2018/5/30, 28
2018/5/31, 35
2018/6/1, 27
2018/6/2, 31
2018/6/3, 34
2018/6/4, 38
2018/6/5, 41
2018/6/6, 38
2018/6/7, 41
2018/6/8, 37
2018/6/9, 38
2018/6/10, 35
2018/6/11, 35
2018/6/12, 39
2018/6/13, 32
2018/6/14, 35
2018/6/15, 23
2018/6/16, 18
2018/6/17, 20
2018/6/18, 20
2018/6/19, 17
2018/6/20, 18
2018/6/21, 23
2018/6/22, 25
2018/6/23, 26
2018/6/24, 20
2018/6/25, 19
2018/6/26, 24
2018/6/27, 24
2018/6/28, 22
2018/6/29, 20
2018/6/30, 24
2018/1/1, 14
2018/1/2, 13
2018/1/3, 15
2018/1/4, 15
2018/1/5, 16
2018/1/6, 21
2018/1/7, 29
2018/1/8, 26
2018/1/9, 27
2018/1/10, 24
2018/1/11, 20
2018/1/12, 21
2018/1/13, 27
2018/1/14, 18
2018/1/15, 23
2018/1/16, 32
2018/1/17, 31
2018/1/18, 27
2018/1/20, 31
2018/1/21, 30
2018/1/22, 30
2018/1/23, 37
2018/1/24, 33
2018/1/25, 26
2018/1/26, 32
2018/1/27, 36
2018/1/28, 31
2018/1/29, 27
2018/1/30, 33
2018/1/31, 38
2018/2/1, 25
2018/2/2, 22
2018/2/3, 22
2018/2/4, 24
2018/2/5, 24
2018/2/6, 25
2018/2/7, 27
2018/2/8, 30
2018/2/9, 33
2018/2/10, 37
2018/2/11, 41
2018/2/12, 37
2018/2/13, 24
2018/2/14, 22
2018/2/15, 33
2018/2/16, 42
2018/2/17, 34
2018/2/18, 26
2018/2/19, 26
2018/2/20, 26
2018/2/21, 17
2018/2/22, 24
2018/2/23, 28
2018/2/24, 23
2018/2/25, 17
2018/2/26, 19
2018/2/27, 20
2018/2/28, 30
2018/3/1, 39
2018/3/2, 44
2018/3/3, 33
2018/3/4, 32
2018/3/5, 32
2018/3/6, 26
2018/3/7, 42
2018/3/8, 27
2018/3/9, 20
2018/3/10, 19
2018/3/11, 19
2018/3/12, 21
2018/3/13, 27
2018/3/14, 26
2018/3/15, 27
2018/3/16, 35
2018/3/17, 42
2018/3/18, 25
2018/3/19, 23
2018/3/20, 35
2018/3/21, 36
2018/3/22, 31
2018/3/23, 23
2018/3/24, 18
2018/3/25, 21
2018/3/26, 21
2018/3/27, 17
2018/3/28, 23
2018/3/29, 36
2018/3/30, 52
2018/3/31, 42
2017/10/5, 36
2017/10/6, 37
2017/10/7, 47
2017/10/8, 39
2017/10/9, 32
2017/10/10, 25
2017/10/11, 36
2017/10/12, 39
2017/10/13, 34
2017/10/14, 43
2017/10/15, 46
2017/10/16, 43
2017/10/17, 48
2017/10/18, 47
2017/10/19, 58
2017/10/20, 54
2017/10/21, 57
2017/10/22, 35
2017/10/23, 33
2017/10/24, 41
2017/10/25, 46
2017/10/26, 38
2017/10/28, 46
2017/10/29, 34
2017/12/12, 43
2017/12/13, 48
2017/12/14, 39
2017/12/15, 48
2017/12/16, 37
2017/12/17, 29
2017/12/18, 24
2017/12/19, 27
2017/12/20, 23
2017/12/21, 30
2017/12/22, 31
2017/12/23, 41
2017/12/24, 29
2017/12/25, 19
2017/12/26, 19
2017/12/27, 24
2017/12/28, 25
2017/12/29, 22
2017/12/30, 16
2017/7/7, 59
2017/7/8, 35
2017/7/9, 25
2017/7/10, 12
2017/7/11, 17
2017/7/13, 24
2017/7/14, 24
2017/7/15, 23
2017/7/16, 32
2017/7/17, 28
2017/7/18, 34
2017/8/27, 21
2017/8/28, 25
2017/8/29, 27
2017/8/30, 28
2017/8/31, 37
2017/9/1, 34
2017/9/2, 28
2017/9/3, 32
2017/9/4, 26
2017/9/5, 34
2017/9/6, 39
2017/9/11, 25
2017/9/12, 34
2017/9/13, 42
2017/9/14, 48
2017/9/15, 27
2017/9/16, 20
2017/4/1, 72
2017/4/2, 50
2017/4/3, 40
2017/4/4, 42
2017/4/5, 41
2017/4/6, 41
2017/4/7, 59
2017/4/8, 67
2017/4/9, 62
2017/4/10, 59
2017/4/11, 56
2017/4/12, 68
2017/4/13, 77
2017/4/14, 62
2017/1/2, 37
2017/1/3, 47
2017/1/4, 40
2017/1/5, 42
2017/1/6, 51
2017/1/7, 49
2017/1/8, 44
2017/1/9, 60
2017/1/10, 63
2017/1/11, 62
2017/1/12, 62
2017/1/13, 68
2017/1/14, 62
2017/1/15, 50
2017/1/16, 42
2017/1/17, 54
2017/1/18, 56
2017/1/19, 52
2017/1/20, 53
2017/1/21, 44
2017/1/22, 31
2017/1/23, 41
2017/1/24, 36
2017/1/25, 36
2017/1/26, 39
2017/1/27, 42
2017/1/28, 40
2017/1/29, 45
2017/1/30, 51
2017/1/31, 41
2017/2/1, 39
2017/2/2, 30
2017/2/6, 59
2017/2/7, 61
2017/2/8, 60
2017/2/9, 58
2017/2/10, 62
2017/2/11, 55
2017/2/12, 50
2017/2/13, 47
2017/2/14, 44
2017/2/15, 44
2017/2/16, 38
2017/2/17, 49
2017/2/18, 48
2017/2/19, 40
2017/2/20, 44
2017/2/21, 54
2017/2/22, 56
2017/2/23, 53
2017/2/24, 51
2017/2/25, 43
2017/2/26, 44
2017/2/27, 38
2017/2/28, 40
2017/3/1, 47
2017/3/2, 41
2017/3/3, 40
2017/3/4, 45
2017/3/5, 52
2017/3/6, 55
2017/3/7, 55
2017/3/8, 58
2017/3/9, 51
2017/3/10, 54
2017/3/11, 59
2017/3/12, 62
2017/3/13, 64
2017/3/14, 62
2017/3/15, 72
2017/3/16, 79
2017/3/17, 86
2017/3/18, 81
2017/3/19, 52
2017/3/20, 50
2017/3/21, 53
2017/3/22, 60
2017/3/23, 57
2017/3/24, 63
2017/3/25, 72
2017/3/26, 57
2017/3/27, 54
2017/3/28, 42
2017/3/29, 49
2017/3/30, 53
2017/3/31, 49
2016/10/1, 58
2016/10/2, 56
2016/10/3, 54
2016/10/6, 51
2016/10/7, 53
2016/10/8, 42
2016/10/9, 53
2016/10/10, 50
2016/10/11, 46
2016/10/12, 43
2016/10/13, 38
2016/10/14, 43
2016/10/15, 51
2016/10/16, 46
2016/10/17, 51
2016/10/18, 57
2016/10/19, 53
2016/10/20, 52
2016/10/21, 50
2016/10/22, 52
2016/10/23, 55
2016/10/24, 44
2016/10/25, 48
2016/10/26, 53
2016/10/27, 61
2016/10/28, 47
2016/10/29, 43
2016/10/30, 33
2016/10/31, 27
2016/11/1, 31
2016/11/2, 63
2016/11/3, 54
2016/11/4, 57
2016/11/5, 44
2016/11/6, 56
2016/11/7, 43
2016/11/8, 59
2016/11/9, 57
2016/11/10, 66
2016/11/11, 51
2016/11/12, 48
2016/11/13, 51
2016/11/14, 54
2016/11/15, 52
2016/11/16, 47
2016/11/17, 51
2016/11/18, 53
2016/11/19, 54
2016/11/20, 58
2016/11/21, 47
2016/11/22, 56
2016/11/23, 59
2016/11/24, 51
2016/11/25, 56
2016/11/26, 44
2016/11/27, 46
2016/11/28, 29
2016/11/29, 44
2016/11/30, 48
2016/12/1, 58
2016/12/2, 46
2016/12/3, 36
2016/12/4, 44
2016/12/5, 54
2016/12/6, 57
2016/12/7, 55
2016/12/8, 60
2016/12/9, 70
2016/12/10, 63
2016/12/11, 53
2016/12/12, 47
2016/12/13, 56
2016/12/14, 64
2016/12/15, 68
2016/12/16, 76
2016/12/17, 75
2016/12/18, 70
2016/12/19, 58
2016/12/20, 49
2016/12/21, 44
2016/12/22, 54
2016/12/23, 62
2016/12/24, 48
2016/12/25, 55
2016/12/26, 45
2016/12/27, 53
2016/12/28, 48
2016/12/29, 53
2016/12/30, 63
2016/12/31, 62
2017/1/1, 47
2016/7/1, 71
2016/7/2, 76
2016/7/3, 68
2016/7/4, 60
2016/7/5, 56
2016/7/7, 43
