date, pm10
2016/9/4, 29
2016/9/5, 21
2016/9/6, 33
2016/9/7, 20
2016/9/8, 14
2016/9/9, 18
2016/9/10, 27
2016/9/11, 29
2016/9/12, 21
2016/9/13, 17
2016/9/14, 31
2016/9/15, 41
2016/9/16, 48
2016/9/17, 37
2016/9/18, 54
2016/9/19, 38
2016/9/20, 16
2016/9/21, 11
2016/9/22, 10
2016/9/23, 41
2016/9/24, 22
2016/9/25, 28
2016/9/26, 20
2016/9/27, 11
2016/9/28, 34
2016/9/29, 35
2016/9/30, 30
2016/4/1, 15
2016/4/2, 13
2016/4/3, 18
2016/4/4, 19
2016/4/5, 15
2016/4/6, 15
2016/4/7, 16
2016/4/8, 14
2016/4/9, 21
2016/4/10, 23
2016/4/11, 33
2016/4/12, 38
2016/4/13, 24
2016/4/14, 20
2016/4/15, 16
2016/4/16, 23
2016/4/17, 13
2016/4/18, 18
2016/4/19, 14
2016/4/20, 13
2016/4/21, 21
2016/4/22, 16
2016/4/23, 16
2016/6/17, 23
2016/6/18, 33
2016/6/19, 19
2016/6/20, 25
2016/6/21, 19
2016/6/22, 22
2016/6/23, 25
2016/6/24, 24
2016/6/25, 19
2016/6/26, 19
2016/6/27, 36
2016/1/4, 15
2016/1/5, 12
2016/1/6, 2
2016/1/7, 17
2016/1/8, 12
2016/1/9, 14
2016/1/10, 17
2016/1/11, 6
2016/1/12, 14
2016/1/13, 17
2016/1/14, 15
2016/1/15, 9
2016/1/17, 15
2016/1/18, 15
2016/1/19, 10
2016/1/20, 14
2016/1/21, 12
2016/1/22, 19
2016/1/23, 7
2016/1/24, 21
2016/1/25, 15
2016/1/26, 22
2016/1/27, 19
2016/1/28, 13
2016/1/29, 17
2016/1/30, 17
2016/1/31, 20
2016/2/1, 16
2016/2/2, 20
2016/2/3, 22
2016/2/4, 12
2016/2/5, 18
2016/2/6, 21
2016/2/7, 11
2016/2/8, 16
2016/2/9, 6
2016/2/10, 12
2016/2/12, 14
2016/2/13, 22
2016/2/14, 19
2016/2/15, 16
2016/2/16, 15
2016/2/17, 23
2016/2/18, 18
2016/2/19, 13
2016/2/20, 10
2016/2/21, 12
2016/2/22, 14
2016/2/23, 12
2016/2/24, 14
2016/2/25, 19
2016/2/26, 17
2016/2/27, 13
2016/2/28, 24
2016/2/29, 17
2016/3/1, 20
2016/3/2, 10
2016/3/3, 16
2016/3/4, 18
2016/3/5, 18
2016/3/6, 15
2016/3/7, 15
2016/3/8, 11
2016/3/9, 18
2016/3/10, 16
2016/3/11, 14
2016/3/12, 17
2016/3/13, 17
2016/3/14, 16
2016/3/15, 14
2016/3/16, 20
2016/3/17, 25
2016/3/18, 22
2016/3/19, 24
2016/3/20, 21
2016/3/21, 26
2016/3/22, 23
2016/3/23, 44
2016/3/24, 25
2016/3/25, 35
2016/3/26, 27
2016/3/27, 26
2016/3/28, 17
2016/3/29, 22
2016/3/30, 20
2016/3/31, 21
2015/10/1, 172
2015/10/2, 96
2015/10/3, 107
2015/10/4, 174
2015/10/5, 156
2015/10/6, 47
2015/10/7, 47
2015/10/8, 68
2015/10/9, 110
2015/10/10, 163
2015/10/11, 92
2015/10/12, 65
2015/10/13, 37
2015/10/14, 63
2015/10/15, 152
2015/10/16, 169
2015/10/17, 141
2015/10/18, 209
2015/10/19, 205
2015/10/20, 256
2015/10/21, 328
2015/10/22, 395
2015/10/23, 124
2015/10/24, 90
2015/10/25, 165
2015/10/26, 116
2015/10/27, 65
2015/10/28, 57
2015/10/29, 18
2015/10/30, 33
2015/10/31, 51
2015/11/1, 18
2015/11/2, 13
2015/11/3, 13
2015/11/4, 21
2015/11/5, 27
2015/11/6, 13
2015/11/7, 12
2015/11/8, 10
2015/11/9, 14
2015/11/10, 13
2015/11/11, 4
2015/11/12, 13
2015/11/13, 13
2015/11/14, 13
2015/11/15, 16
2015/11/16, 12
2015/11/17, 20
2015/11/18, 9
2015/11/19, 14
2015/11/20, 12
2015/11/21, 15
2015/11/22, 12
2015/11/23, 12
2015/11/24, 11
2015/11/25, 11
2015/11/26, 12
2015/11/27, 13
2015/11/28, 11
2015/11/29, 15
2015/11/30, 10
2015/12/1, 15
2015/12/2, 15
2015/12/3, 15
2015/12/4, 13
2015/12/5, 11
2015/12/6, 15
2015/12/7, 12
2015/12/8, 15
2015/12/9, 14
2015/12/10, 17
2015/12/11, 18
2015/12/12, 15
2015/12/13, 17
2015/12/14, 7
2015/12/15, 11
2015/12/16, 10
2015/12/17, 14
2015/12/18, 12
2015/12/19, 18
2015/12/20, 25
2015/12/21, 11
2015/12/23, 16
2015/12/24, 20
2015/12/25, 16
2015/12/26, 23
2015/12/27, 29
2015/12/28, 16
2015/12/29, 23
2015/12/30, 24
2015/12/31, 21
2015/7/16, 50
2015/7/17, 40
2015/7/18, 48
2015/7/19, 38
2015/7/20, 30
2015/7/21, 28
2015/7/22, 33
2015/7/23, 18
2015/7/24, 35
2015/7/25, 26
2015/7/26, 16
2015/7/27, 16
2015/7/28, 15
2015/7/29, 11
2015/7/30, 12
2015/7/31, 19
2015/8/1, 10
2015/8/2, 16
2015/8/3, 27
2015/8/4, 29
2015/8/5, 35
2015/8/6, 40
2015/8/7, 40
2015/8/8, 47
2015/8/9, 74
2015/8/10, 102
2015/8/11, 62
2015/8/12, 31
2015/8/13, 38
2015/8/14, 46
2015/8/15, 44
2015/8/16, 27
2015/8/17, 51
2015/8/18, 40
2015/8/19, 43
2015/8/20, 58
2015/8/21, 66
2015/8/22, 87
2015/8/23, 113
2015/8/24, 112
2015/8/25, 100
2015/8/26, 101
2015/8/27, 90
2015/8/28, 62
2015/8/29, 73
2015/8/30, 84
2015/9/1, 255
2015/9/2, 165
2015/9/3, 104
2015/9/4, 142
2015/9/5, 93
2015/9/6, 76
2015/9/7, 117
2015/9/8, 136
2015/9/9, 210
2015/9/10, 316
2015/9/11, 214
2015/9/12, 213
2015/9/13, 142
2015/9/14, 166
2015/9/15, 278
2015/9/16, 487
2015/9/17, 487
2015/9/18, 200
2015/9/19, 137
2015/9/21, 81
2015/9/24, 360
2015/9/26, 404
2015/9/30, 166
